Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SGN,Signing Day Sports Inc. Common Stock,$0.281,0.011,4.074%,4322244.00,,2023,677441,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$3.15,-0.07,-2.174%,19497605.00,United States,1969,3620,Industrials,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$9.06,-0.10,-1.092%,1331258280.00,Canada,2018,983428,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$32.75,0.00,0.00%,5044983444.00,Mexico,1998,46,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$10.52,-1.68,-13.77%,701529398.00,United States,2022,92333,Finance,Real Estate
SLI,Standard Lithium Ltd. Common Shares,$1.71,0.01,0.588%,295577257.00,Canada,2021,606002,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$5.80,0.28,5.072%,278548990.00,United States,,92159,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$3.34,0.045,1.366%,503723306.00,,2024,13659,,
SOAR,Volato Group Inc. Class A Common Stock,$1.29,-0.05,-3.731%,37742932.00,,2022,53172,Consumer Discretionary,Transportation Services
SSY,SunLink Health Systems Inc. Common Stock,$0.60,-0.002,-0.332%,4224362.00,United States,1996,26669,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$10.92,-0.02,-0.183%,70282518.00,,2023,36229,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.01,0.02,1.005%,166112918.00,United States,,142549,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$4.07,-0.09,-2.163%,721929266.00,Canada,,1723010,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$11.975,0.075,0.63%,30520359.00,United States,1970,887,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$2.85,0.05,1.786%,14962500.00,,2024,3083,Consumer Staples,Consumer Electronics/Appliances
TELL,Tellurian Inc. Common Stock,$0.4903,-0.0127,-2.525%,410001965.00,United States,,19189158,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$13.70,-0.16,-1.154%,11456306187.00,United States,,20382,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$2.81,-0.02,-0.707%,819110119.00,Canada,,2323256,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.6385,0.0085,1.349%,127504263.00,Canada,,48230,,
TMP,Tompkins Financial Corporation Common Stock,$46.26,1.33,2.96%,666351522.00,United States,1997,35316,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.5144,0.0089,1.761%,82389796.00,Canada,,60706,,
TOON,Kartoon Studios Inc. Common Stock,$1.03,-0.02,-1.905%,40569125.00,United States,,95345,Consumer Discretionary,Movies/Entertainment
TOPS,TOP Ships Inc. Common Stock,$13.49,0.0415,0.309%,62407398.00,Greece,,10124,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.2673,-0.0117,-4.194%,4618241.00,United States,,248078,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.253,0.003,1.20%,9338691.00,,2023,845521,Energy,Oil & Gas Production
