Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EP,Empire Petroleum Corporation Common Stock,$7.92,-0.15,-1.859%,240616776.00,United States,2022,64393,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.65,0.07,1.254%,188470621.00,United States,,170327,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.50,0.03,0.548%,1779825828.00,Canada,,2104170,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$8.9575,0.0175,0.196%,0.00,United States,2003,39911,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.905,0.075,0.763%,0.00,,2004,29855,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$21.20,0.0477,0.226%,57934554.00,United States,1960,5177,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$25.91,0.31,1.211%,143049343.00,United States,,15732,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$11.035,-0.005,-0.045%,0.00,,2022,489854,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$20.88,1.03,5.189%,264778382.00,United States,1999,11732,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.26,0.02,0.216%,0.00,United States,2002,53518,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.67,0.02,0.207%,0.00,United States,2003,248797,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.61,0.00,0.00%,0.00,United States,1986,530928,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.44,-0.27,-4.729%,0.00,United States,1992,233288,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$5.24,-2.92,-35.784%,407787390.00,,2023,327283,Consumer Discretionary,Transportation Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3407,0.027,8.607%,3047913.00,,2022,659057,Finance,Life Insurance
FRD,Friedman Industries Inc. Common Stock,$18.57,0.50,2.767%,129550095.00,United States,1975,17763,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$2.22,-0.01,-0.448%,27640181.00,Canada,2002,10339,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.88,0.00,0.00%,194449064.00,United States,,806688,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.25,0.04,0.644%,252533588.00,United States,2003,78553,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.45,-0.009,-1.961%,65496353.00,,2020,57708,,
GAU,Galiano Gold Inc.,$1.82,0.02,1.111%,409420137.00,Canada,,1285748,,
GBR,New Concept Energy Inc Common Stock,$1.33,-0.0948,-6.654%,6825472.00,United States,1993,70167,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$19.38,0.00,0.00%,284066265.00,United States,,12119,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.08,0.04,0.99%,0.00,United States,2005,336374,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$21.14,0.11,0.523%,,United States,,4701,,
GLDG,GoldMining Inc. Common Shares,$0.9021,-0.0028,-0.309%,165842495.00,,,342073,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.04,0.00,0.00%,0.00,United States,2006,179770,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.54,0.015,0.23%,0.00,United States,2005,54172,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.305,-0.01,-0.07%,85385272.00,United States,2004,10612,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.89,-0.61,-1.47%,,United States,,5225,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.48,0.02,0.366%,69648515.00,United States,2004,56622,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.3138,0.0139,4.635%,23181593.00,Singapore,2022,2325009,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.4759,-0.0025,-0.523%,43207644.00,United States,,332909,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.36,0.00,0.00%,0.00,United States,,24,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.3631,0.0221,6.481%,282290969.00,,2022,90543,,
GROY,Gold Royalty Corp. Common Shares,$1.48,-0.03,-1.987%,215938983.00,Canada,2021,2096974,,
GSAT,Globalstar Inc. Common Stock,$1.13,0.03,2.727%,2147000000.00,United States,2006,2307683,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$9.16,0.04,0.439%,295377949.00,Canada,,213137,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$2.1499,0.0399,1.891%,0.00,,2022,12787,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.495,0.06,0.525%,0.00,United States,2007,40825,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.31,-0.02,-1.504%,14287322.00,United States,,132049,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$61.8741,0.00,0.00%,,United States,,130,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.20,0.04,0.962%,0.00,United States,1985,35305,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.13,0.04,3.67%,434933299.00,Canada,2022,4423729,Basic Materials,Precious Metals
IBIO,iBio Inc. Common Stock,$2.23,-0.24,-9.717%,19230797.00,United States,,129853,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$9.46,-0.01,-0.106%,120523825.00,,2022,58303,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$11.73,0.58,5.202%,1411194236.00,Canada,2022,689961,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.50,-0.01,-1.961%,31867220.00,United States,,208872,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.28,-0.03,-2.29%,11550472.00,United States,1999,669,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$69.25,0.12,0.174%,37106698608.00,Canada,1929,298723,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$3.06,-0.02,-0.649%,31220244.00,,2019,36933,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$7.07,-0.27,-3.678%,150557446.00,United States,,62822,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$6.36,-0.23,-3.49%,26162630.00,,2022,1332,Technology,EDP Services
INTT,inTest Corporation Common Stock,$9.72,-0.03,-0.308%,121399320.00,United States,1997,81432,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.2712,-0.0128,-4.507%,37936541.00,United States,,278093,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$16.30,0.07,0.431%,66473128.00,United States,1987,180,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$9.50,-0.03,-0.315%,36265101.00,United States,,3022,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.2372,-0.0087,-3.538%,2387636.00,China,,43219,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.9034,0.0104,1.165%,79913591.00,,,126306,,
JOB,GEE Group Inc. Common Stock,$0.3503,-0.0037,-1.045%,38102684.00,United States,1968,150961,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$11.09,0.00,0.00%,0.00,,2021,2587,Finance,Blank Checks
KNW,Know Labs Inc. Common Stock,$0.5765,-0.0003,-0.052%,49297764.00,,2022,61350,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.3125,-0.0075,-2.344%,57086633.00,United States,,3807666,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.9888,0.0588,6.323%,186683606.00,United States,,1141329,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.12,0.00,0.00%,0.00,,2024,104758,,
LEU,Centrus Energy Corp. Class A Common Stock,$50.77,1.60,3.254%,812166675.00,United States,2014,298804,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$5.07,-0.04,-0.783%,27139391.00,United States,1946,4099,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.2456,-0.0069,-2.733%,33952989.00,United States,,1065602,Finance,Real Estate
LPA,Logistic Properties of the Americas Ordinary Shares,$258.85,225.84,684.156%,0.00,,2024,201410,,
LPTV,Loop Media Inc. Common Stock,$0.2309,0.0307,15.335%,16434016.00,United States,2022,14277639,Consumer Discretionary,Professional Services
LSF,Laird Superfood Inc. Common Stock,$2.84,0.24,9.231%,27296785.00,,2020,92100,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$12.03,0.18,1.519%,322910848.00,United Kingdom,2012,84105,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$13.45,-0.17,-1.248%,1384658845.00,Canada,,645059,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$4.39,0.03,0.688%,95865084.00,,2022,182846,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.40,0.03,2.19%,55136843.00,,2022,945,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$8.02,0.27,3.484%,93307110.00,United States,,8144,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$6.12,0.07,1.157%,18910849.00,,2023,5838,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.4975,0.0072,1.468%,5067222.00,United States,2021,64868,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.73,-0.0275,-3.63%,56376231.00,United States,2015,38046,Health Care,Industrial Specialties
MMA,Alta Global Group Limited Ordinary Shares,$3.94,0.14,3.684%,40454683.00,,2024,5487,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$38.43,1.63,4.429%,107549391.00,,2022,35613,Technology,Industrial Machinery/Components
MPU,Mega Matrix Corp. Common Stock,$2.02,0.02,1.00%,72676734.00,United States,1998,123257,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$1.73,0.08,4.848%,98672443.00,,2021,39484,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.5551,-0.0049,-0.875%,11680776.00,United States,1994,8363,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.29,0.09,2.813%,300866088.00,,,318772,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.1603,-0.003,-1.837%,40205831.00,United States,2017,932470,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.3664,0.0409,12.565%,11299776.00,,2023,472075,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$11.60,-0.03,-0.258%,24334921.00,United States,2003,2827,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$2.58,-0.03,-1.149%,117771278.00,,2017,9940,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$3.47,-0.02,-0.573%,99986790.00,United States,2017,224567,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.3091,-0.0009,-0.29%,166443553.00,Canada,,533463,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.20,0.03,0.295%,0.00,United States,2002,103386,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.1042,-0.0589,-36.113%,3942033.00,United States,2007,20045247,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.3912,-0.0087,-2.176%,9091488.00,,2023,63431,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$71.95,0.45,0.629%,8350949.00,United States,,1663,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$2.06,0.03,1.478%,352687213.00,,2021,311967,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.52,-0.04,-1.124%,671651587.00,,2021,343856,,
NG,Novagold Resources Inc.,$4.07,0.28,7.388%,1360890878.00,Canada,2003,2399404,Basic Materials,Precious Metals
NGD,New Gold Inc.,$2.20,0.12,5.769%,1508320000.00,Canada,,23320100,,
NHC,National HealthCare Corporation Common Stock,$105.33,3.26,3.194%,1622052929.00,United States,1986,46866,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.89,-0.04,-0.504%,0.00,United States,,82598,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.51,0.01,0.133%,0.00,,2013,159533,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$2.43,0.00,0.00%,28708020.00,United States,,153131,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.14,0.06,1.948%,0.00,United States,2003,160976,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$3.45,0.17,5.183%,22935462.00,,2023,24864,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.79,0.01,0.562%,41911907.00,United States,,14116,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.59,0.10,1.335%,586733853.00,Canada,2022,302208,,
OGEN,Oragenics Inc. Common Stock,$2.04,0.07,3.553%,9140614.00,United States,,21015,Health Care,Biotechnology: Pharmaceutical Preparations
